source-bank,target-city
COMMERCIAL BANK -LANTA-BANK',MOSCOW
GENERAL ELECTRIC COMPANY,STAMFORDCT
THE 77 BANKLTD.,SENDAI
MIZUHO CORPORATE BANK LTD. PARIS BRANCH,PARIS
LA BANQUE POSTALE,CHALONS EN CHAMPAGNE
BANQUE D'ESCOMPTE,PARIS
ALWATANY BANK OF EGYPT,EL MANSOURA
NATIONAL BANK OF KUWAIT (INTERNATIONAL) PLC PARIS BRANCH,PARIS
GALLIARD CAPITAL MANAGEMENT INC,MINNEAPOLISMN
SUEZ CANAL BANK,6TH OF OCTOBER
LA BANQUE POSTALE,TOULOUSE
CITY INVEST BANK,ST. PETERSBURG
BANK OF TOKYO-MITSUBISHI UFJ LTD. THE,PARIS
BANCO DE LA NACION ARGENTINA MIAMI BRANCH,MIAMIFL
AMI-BANK ZAO,MOSCOW
FAISAL ISLAMIC BANK OF EGYPT,6TH OF OCTOBER
SHINSEI BANK LTD.,TOKYO
HUA NAN COMMERCIAL BANK LTD. HOCHIMINH CITY BRANCH,HO CHI MINH CITY
LA BANQUE POSTALE,DIJON
RASGAS COMPANY LIMITED,DOHA
BANK OF KHANTY-MANSIYSK OAO,MOSCOW
AICHI BANK LTD. THE,NAGOYA
DA AFGHANISTAN BANK,KABUL
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,DA NANG
COFIDIS,VILLENEUVE D'ASCQ
BAKER HUGHES INCORPORATED,HOUSTONTX
EXPORT DEVELOPMENT BANK OF EGYPT,6TH OF OCTOBER
SHINWA BANK LTD. THE,SASEBO
BANQUE EXTERIEURE D'ALGERIE,BOUSAADA
FIRST NATIONAL BANK,LINCOLNNE
FIRST NATIONAL BANK,DENVERCO
ELECTRO BANQUE,PARIS
ARAB BANKING CORPORATION EGYPT,ALEXANDRIA
SOFIPROTEOL,PARIS
STATE BANK OF INDIA QATAR FINANCIAL CENTRE BRANCH,DOHA
CLF BANQUE,PARIS
SMBC NIKKO SECURITIES INC.,TOKYO
EL OROUBA BROKERAGE FIRM,CAIRO
MUBASHER TRADE,GIZA
BANCOMER TRANSFER SERVICES INC.,HOUSTONTX
FAISAL ISLAMIC BANK OF EGYPT,DAMANHOUR
AL KHALIJ COMMERCIAL BANK,DOHA
NATIONAL BANK OF GREECE (EGYPT NETWORK),GIZA
BANQUE DE REALISATIONS DE GESTION ET DE FINANCEMENT,CLICHY
BANQUE EXTERIEURE D'ALGERIE,SAIDA
EURONEXT PARIS S.A.,PARIS
BANK OF CHINA,HO CHI MINH CITY
EGYPTIAN ARAB LAND BANK,TANTA
EGYPTIAN ARAB LAND BANK,EL ZAGAZIG
HONEST BROKERAGE,CAIRO
BM SOFTWARE,NICE
BANQUE TARNEAUD,LIMOGES
BANK OF KHANTY-MANSIYSK OAO,ST. PETERSBURG
ENERGOBANK,KAZAN
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,CAN THO
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,HANOI
EULER HERMES SFAC CREDIT,PARIS
ENERGOTRANSBANK,KALININGRAD
CHUVASHCREDITPROMBANK OAO,CHEBOKSARY
BANK OF KHANTY-MANSIYSK OAO,BEREZOVO
BANQUE EXTERIEURE D'ALGERIE,ALGIERS
FDI FRANCE,LA MOTTE-SERVOLEX
BANQUE PSA FINANCE SA,PARIS
LA BANQUE POSTALE ASSET MANAGEMENT,PARIS
QINVEST LLC,DOHA
SVENSKA HANDELSBANKEN AB,RIGA
BANK OF TOKYO-MITSUBISHI UFJ LTD. THE,OSAKA
CITIBANK CAIRO,CAIRO
INDUSTRIAL DEVELOPMENT AND WORKERS BANK OF EGYPT,THE TENTH OF RAMADAN
BANK OF TOKYO-MITSUBISHI UFJ LTD. THE,SAPPORO
CHITAPROMSTROYBANK OAO,CHITA
BOISSIERE FINANCE,RUEIL MALMAISON
CHELINDBANK,MAGNITOGORSK
FIRST NATIONAL BANK,OMAHANE
CAISSE D'EPARGNE DES PAYS DE L'ADOUR,DAX
NATIONAL BANK FOR DEVELOPMENT,ALEXANDRIA
CATERPILLAR INC.,PEORIAIL
FAISAL ISLAMIC BANK OF EGYPT,ASWAN
DANSKE BANK A/SLATVIJA BRANCH,RIGA
ROYAL BANK OF SCOTLAND PLC (FORMER ABN AMRO BANK N.V.),TOKYO
BANQUE EXTERIEURE D'ALGERIE,LAGHOUAT
DAISAN BANK LTD. THE,MATSUSAKA
BLOM BANK EGYPT S.A.E.,ISMAILIA
ALMAZERGIENBANK,YAKUTSK
